hgnc_symbol,expression
KRT19,0.8639
SPARC,10.2563
RPL36A-HNRNPH2,0.7655
VIM,11.9567
TGFBI,8.8397
UCHL1,1.0635
KRT8,3.5323
KRT7,0.189
C19orf33,0.546
RPS4Y1,2.7761
CD74,6.0472
KRT18,6.5308
S100A6,9.7764
EPCAM,0.433
FN1,8.6241
FXYD3,8.3067
TACSTD2,0.0286
S100P,0.9411
IGFBP3,3.5886
CAV1,7.9811
ANXA1,8.8611
SERPINE1,0.0841
KRT17,0.0426
SPINT2,0.585
S100A16,1.0356
TM4SF1,5.9129
IFI27,1.9411
HLA-DRA,3.2913
MAL2,0.433
NNMT,3.1276
S100A14,0.1763
LGALS1,11.1741
CLDN4,0.3896
AGR2,0.2987
CD24,0.516
IGFBP7,6.0139
SFN,0.2388
XAGE1A,7.286
LCN2,0.5656
CDKN2A,7.1807
IFITM1,4.2227
MGST1,3.7887
COL1A2,0.0704
MT1E,3.0583
SLPI,0.0
ELF3,0.251
TUBA1B-AS1,1.4276
ARHGDIB,0.7137
CCN1,2.696
SRGN,3.3234
SPP1,8.6154
IFITM3,6.5984
LCP1,6.7674
CD44,9.0933
FSTL1,3.3519
CLDN7,0.3785
THBS1,4.1119
EFEMP1,0.3896
TINAGL1,1.0356
TGM2,0.3334
ADIRF,0.0
COL6A2,2.4141
RAB25,0.2388
DKK1,2.5084
EEF1A2,4.1779
BASP1,0.8718
CLU,1.1763
ST14,0.1763
ALDH1A3,7.7166
PLAU,0.0144
KRT5,0.0426
CAVIN1,7.4429
BEX1,0.3448
IGFBP2,3.9837
ANXA3,4.6594
BST2,7.1008
S100A2,1.1506
MYL9,3.3604
GYPC,8.5714
DMKN,4.337
ALDH1A1,2.7355
CDH1,0.2265
S100A11,10.3213
XIST,0.4751
AXL,0.275
GPRC5A,4.0557
IGFBP5,0.433
MT2A,10.2842
H19,0.1506
AKR1C2,0.1243
S100A9,0.0
GPX2,0.4114
LAMC2,0.111
RBP1,0.0
S100A4,3.5777
IL32,0.0144
MYOF,6.5119
MLPH,7.0411
GDF15,6.8947
LGALS3,9.019
F3,1.7991
COL4A2,5.7975
CAV2,5.1767
MMP2,2.5993
TIMP3,6.5362
UCA1,0.0704
LAPTM5,0.1506
MAGEA3,7.04
EMP1,6.9955
AKR1C3,0.5059
S100A10,9.4194
DKK3,4.6943
FKBP10,7.084
CCND1,6.9586
IFITM2,0.3896
MMP14,7.794
THY1,0.3785
CYBA,7.4571
PRSS23,5.1206
TFPI2,0.7908
CCN2,0.9782
CALD1,7.887
PRAME,6.5887
CRIP1,0.3219
KRT81,0.9709
CCDC80,3.4764
TNC,7.3593
SCNN1A,0.6508
COL1A1,0.1635
FOSL1,7.0639
SDC2,5.033
CD9,8.0627
IGKC,0.0
SERPINE2,10.5424
CRABP2,0.926
HLA-DPA1,2.6781
ASS1,0.2141
LOXL2,2.4542
RAC2,1.8718
AREG,0.111
GJA1,0.0144
LAMB3,2.1922
ITGB4,0.5361
COL6A1,4.2464
PLK2,4.7458
GMFG,1.1827
MAGEA6,7.2494
ITGA3,4.3992
PEG10,3.7257
HCLS1,0.0144
CLDN1,0.8797
BEX3,6.5329
PXDN,5.5659
TPM2,3.6159
AP1M2,0.1763
CD70,4.116
DSP,0.0841
AKR1C1,1.2928
SPINT1,3.0566
COL4A1,3.7093
TNFAIP2,1.0215
TMSB4XP6,0.0
FBLN1,0.5361
TUSC3,5.7241
NT5E,3.8914
TUBB2B,3.6159
MIR205HG,0.0976
ESRP1,3.7991
LAD1,0.1635
GSTM3,5.366
TIMP1,8.2205
MEG3,0.0976
RAB34,6.7739
CAVIN3,7.0661
COL5A1,1.1043
SNRPN,4.9331
L1CAM,2.0875
HLA-DRB1,0.926
CXCR4,0.1243
IGFBP4,3.4033
KRT6A,0.0144
HLA-B,3.6206
PLAC8,0.0566
PLAT,5.803
SLC43A3,8.2959
LTBR,6.3185
IFI16,7.9215
CDH3,6.8983
DPYSL3,3.2795
HTRA1,5.6299
C15orf48,0.111
CXCL1,0.5261
WFDC2,0.0841
C3,0.2016
VCAN,1.669
TSPAN1,0.4222
COL12A1,0.8797
PRSS8,0.1375
ABCC3,0.2869
IGHM,0.0
VAMP8,0.6323
COL5A2,3.6005
NUPR1,5.7522
EHF,0.3785
XAGE1B,5.3705
CPE,0.0426
IGFBP6,3.9411
MDK,3.0755
ALDH3A1,0.0426
UGT1A6,0.0
RNVU1-7,1.1177
COL3A1,0.0286
CDH2,4.9331
SMIM22,0.3334
RHOD,3.6645
ANXA8,0.0
CTSL,5.2246
CRYAB,0.6415
CXCL8,1.1309
ADGRG1,7.8379
CNN3,8.8335
COL6A3,0.0426
FOS,2.9241
PKP3,0.0841
GSTP1,9.9459
MALL,0.4114
TSTD1,0.6323
MEST,1.6041
CORO1A,1.7093
IRAG2,0.0
MYEOV,4.6094
HLA-DPB1,2.4463
IER3,6.4328
GPNMB,9.0108
EGFR,2.2388
TRIM29,0.0426
NQO1,9.7615
TFPI,0.4114
TNFRSF12A,7.1546
JCHAIN,0.0841
COL17A1,0.111
SULF2,0.2265
SLC38A5,0.2265
IL18,0.2987
CCL2,3.5826
LGALS3BP,8.2065
EMP3,8.941
MSN,8.4149
TPD52L1,6.1338
G0S2,0.0704
KRT80,0.4957
TSPAN8,0.275
BCAM,1.144
LSR,3.7323
CRIP2,6.0175
SAA1,0.0426
CLDN3,0.251
SPOCK1,2.6276
APOE,6.0477
DDX3Y,0.8156
QPRT,7.4833
EHD2,4.7355
EPHA2,0.8718
CADM1,6.3023
H1-0,5.6135
CD53,0.0286
HMGA2,4.0644
GTSF1,0.0
ID1,2.9373
LAMB2,6.1504
CAPG,7.2428
CD79A,0.1375
SERPINA1,0.433
H2AJ,6.9942
AKR1B1,7.9508
FAM20C,2.3074
SERPINB5,0.0144
SCG2,1.433
PTGES,0.3785
ANKRD1,0.0144
PLS3,7.0938
PLPP2,5.8647
ANXA8L1,0.0144
MZB1,0.0144
TUBA1A,8.1521
CTSZ,6.8918
PDZK1IP1,0.0426
PTGR1,5.8347
EDIL3,0.4647
FSCN1,0.5361
SNCA,7.5272
CST6,0.0426
MT1L,3.9059
AMIGO2,1.2928
FXYD5,8.9166
PLOD2,6.0259
STC2,0.7312
CPA4,2.3391
IL2RG,0.0426
TNNT1,6.5351
FGFBP1,0.0
LOX,2.6135
MET,1.4803
KLK6,0.3334
MCAM,2.1953
PDLIM4,6.6778
HSPA1A,6.2252
MME,0.189
NCAM1,4.2211
CSAG1,6.578
FHL2,6.6272
MMP1,3.272
BACE2,8.1105
EIF1AY,1.0426
CD79B,0.0704
MAP1B,2.3813
P3H2,4.7751
LEF1,5.9074
ERBB3,6.3313
MYH14,2.4854
KIF1A,0.0566
EPS8L2,0.696
LUM,1.1699
TFF3,0.0704
OSMR,4.1603
GAL,0.0976
DSG2,5.0387
CDA,0.2016
YAP1,6.6242
LAMA4,5.2987
SDC4,5.4906
CD68,2.5236
SEMA3C,5.9381
BCAT1,0.3219
KRT15,2.359
FLNC,0.0841
TIMP2,8.3123
CD48,0.1243
KIRREL1,6.1212
CD52,0.0
FHL1,2.9505
CEACAM6,0.0286
MRC2,2.266
MAGEA12,6.283
MPZL2,0.111
BEX4,3.0531
PERP,5.2403
ITGA5,5.5771
TPM1,6.0159
ANXA2,10.6984
JUP,3.3031
LRATD2,5.3452
SNCG,0.263
GPX8,5.5484
SLFN11,4.3052
TCEAL9,6.7185
TMEM98,4.3597
MGP,0.8074
LAMB1,6.5905
SLC2A3,3.7527
LOXL1,0.5059
CDCP1,5.3782
SRPX,7.2406
IGF2,0.0841
MFAP2,4.079
TMSB15A,1.3334
PMP22,7.5174
MAGED4B,0.8718
AKR1B10,0.3103
EPB41L3,7.15
IFI44,5.2411
MAGEA4,0.0
PMEPA1,3.0108
COL18A1,3.6758
ERRFI1,3.7323
ATP2A3,1.269
QPCT,8.3462
PLBD1,0.0426
ITGB5,6.6736
TNS4,0.0566
NCKAP1L,0.0144
PHLDA2,7.4975
LY6K,0.0426
FXYD6,2.441
PYGL,2.211
LAMA3,0.6781
LINC03061,0.0704
AQP3,0.2016
GSTM1,0.0286
NRN1,5.3409
TRIM22,0.3674
AMOTL2,5.2327
WWTR1,6.8137
TRBC2,0.0144
PTPRCAP,0.4005
SLC16A3,5.8982
RAMP1,0.0704
RGS4,0.0426
KRT14,0.9336
PRSS22,0.0976
SELENBP1,0.0286
CDC42EP1,1.0356
FAT1,4.6058
AKAP12,5.0365
AEBP1,4.3964
MFNG,0.0
CDH11,0.0976
TESC,0.189
IRF6,1.4854
TMPRSS4,0.0144
NRP1,1.3561
CHGA,0.1763
TXLNGY,0.848
MISP,0.0566
